hold,side,min_surp,weight,hard_stop,trail_stop,trades,sharpe,cagr,maxdd,t
60,both,0.1,0.1,,,101,1.1527159520991694,0.040487840313676804,-0.09150630715751218,3.1732934395371135
60,both,0.1,0.2,,,101,1.1527159520991694,0.08129156107723023,-0.1749823887467562,3.1732934395371135
60,both,0.1,0.05,,,101,1.1527159520991694,0.02019934067051099,-0.04680120403466137,3.1732934395371135
90,both,0.1,0.1,,,101,0.9917565157786471,0.04806097987579827,-0.06338760537400623,2.730190763307676
90,both,0.1,0.05,,,101,0.9917565157786471,0.024049866652771534,-0.03209428430930117,2.730190763307676
90,both,0.1,0.2,,,101,0.9917565157786471,0.09585589641993542,-0.12362426125694892,2.730190763307676
20,short,0.0,0.05,,0.05,53,0.9347744635491718,0.0038037446118703855,-0.01154714224568909,2.5733257765935877
20,short,0.0,0.1,0.15,0.05,53,0.9347744635491718,0.007605217027838673,-0.022980036446611618,2.5733257765935877
20,short,0.0,0.2,,0.05,53,0.9347744635491718,0.015200812019007026,-0.0455067434084907,2.5733257765935877
20,short,0.0,0.2,0.15,0.05,53,0.9347744635491718,0.015200812019007026,-0.0455067434084907,2.5733257765935877
20,short,0.0,0.1,,0.05,53,0.9347744635491718,0.007605217027838673,-0.022980036446611618,2.5733257765935877
20,short,0.0,0.05,0.15,0.05,53,0.9347744635491718,0.0038037446118703855,-0.01154714224568909,2.5733257765935877
20,short,0.02,0.1,,0.05,44,0.8560557954234218,0.006407349074546209,-0.02298003644661173,2.3566224051536024
20,short,0.02,0.2,0.15,0.05,44,0.8560557954234218,0.012798754147012925,-0.04550674340849037,2.3566224051536024
20,short,0.02,0.2,,0.05,44,0.8560557954234218,0.012798754147012925,-0.04550674340849037,2.3566224051536024
20,short,0.02,0.05,0.15,0.05,44,0.8560557954234218,0.0032056170111720572,-0.01154714224568909,2.3566224051536024
20,short,0.02,0.05,,0.05,44,0.8560557954234218,0.0032056170111720572,-0.01154714224568909,2.3566224051536024
20,short,0.02,0.1,0.15,0.05,44,0.8560557954234218,0.006407349074546209,-0.02298003644661173,2.3566224051536024
20,short,0.02,0.05,0.05,0.1,44,0.7566396939605621,0.004126553853252002,-0.014986077614507431,2.0829413981527485
20,short,0.02,0.1,0.05,0.1,44,0.7566396939605621,0.008239998188932951,-0.029810794335899504,2.0829413981527485
20,short,0.02,0.2,0.05,0.1,44,0.7566396939605621,0.016426344461870857,-0.05897876237238031,2.0829413981527485
20,short,0.02,0.1,0.1,0.05,44,0.7492652168043923,0.00567104161197074,-0.0236771385673491,2.0626403170953775
20,short,0.02,0.2,0.1,0.05,44,0.7492652168043923,0.01131595214970238,-0.046911296768797794,2.0626403170953775
20,short,0.02,0.05,0.1,0.05,44,0.7492652168043923,0.0028387375582903385,-0.01189427282311295,2.0626403170953775
60,long,0.1,0.2,,,78,0.7318922446977245,0.07438327938961109,-0.134424740344268,2.0148145380637303
60,long,0.1,0.1,,,78,0.7318922446977245,0.037969141222607306,-0.06800376521627638,2.0148145380637303
60,long,0.1,0.05,,,78,0.7318922446977245,0.019162989933355634,-0.034184817754022156,2.0148145380637303
90,both,0.1,0.05,0.05,,101,0.7250885169845108,0.009884086158339356,-0.02126717260918498,1.9960846640844374
90,both,0.1,0.2,0.05,,101,0.7250885169845108,0.03895933801450013,-0.08283735312303386,1.9960846640844374
90,both,0.1,0.1,0.05,,101,0.7250885169845108,0.01967477650311622,-0.042159281598660225,1.9960846640844374
20,short,0.0,0.2,0.05,0.05,53,0.716419673919587,0.012080524942688298,-0.04974494681477615,1.9722203436712393
20,short,0.0,0.1,0.05,0.05,53,0.716419673919587,0.006058387340300397,-0.02514793722934272,1.9722203436712393
20,short,0.0,0.05,0.05,0.05,53,0.716419673919587,0.003033654279128939,-0.012643470491497388,1.9722203436712393
20,short,0.02,0.1,0.05,0.05,44,0.7116908183974185,0.005425836031404785,-0.02514793722934261,1.959202352397943
20,short,0.02,0.05,0.05,0.05,44,0.7116908183974185,0.0027165833407067908,-0.012643470491496722,1.959202352397943
20,short,0.02,0.2,0.05,0.05,44,0.7116908183974185,0.010821951341761116,-0.0497449468147767,1.959202352397943
20,short,0.0,0.05,0.05,0.1,53,0.7097253486103046,0.004116429387362119,-0.014986077614508098,1.953791641832431
20,short,0.0,0.1,0.05,0.1,53,0.7097253486103046,0.00821568853579624,-0.029810794335900503,1.953791641832431
20,short,0.0,0.2,0.05,0.1,53,0.7097253486103046,0.016361266836594,-0.0589787623723802,1.953791641832431
90,both,0.0,0.05,,,221,0.688635475381122,0.032107331202761547,-0.09712793966624444,1.8957336647245748
90,both,0.0,0.2,,,221,0.688635475381122,0.11952570202090618,-0.3447521874088725,1.8957336647245748
90,both,0.0,0.1,,,221,0.688635475381122,0.06284640112449802,-0.18670141928974282,1.8957336647245748
40,both,0.1,0.05,,,101,0.6811630909710487,0.009702734239807276,-0.062493309740176084,1.8751630563426884
40,both,0.1,0.2,,,101,0.6811630909710487,0.03810108857801642,-0.22861151798868184,1.8751630563426884
40,both,0.1,0.1,,,101,0.6811630909710487,0.01929036595637501,-0.12129038409931203,1.8751630563426884
60,short,0.0,0.05,,0.05,53,0.6435352355748528,0.0027960595825644585,-0.012616454785445264,1.771577930748515
90,short,0.0,0.1,0.15,0.05,53,0.6435352355748528,0.005580856056967676,-0.025108073196516756,1.771577930748515
