instrument,class,n_DEV,exp_DEV,totR_DEV,pf_DEV,n_TEST,exp_TEST,totR_TEST,pf_TEST,spread_bp,exp_avg,totR_sum
XAUUSD,metal,64,0.5388593724073607,34.486999834071085,2.1742790102170115,43,0.6195248580758707,26.63956889726244,2.389818828441088,1.5732877322448775,0.5791921152416157,61.12656873133352
JP225,index,57,0.10427537801032799,5.943696546588695,1.184279902000342,46,0.1793146591037816,8.248474318773955,1.293356372791086,1.4740800732929524,0.14179501855705479,14.19217086536265
USDCAD,forex,66,0.03625068445699403,2.392545174161606,1.055853105528205,59,0.1519061194364769,8.962461046752136,1.2429293233085748,0.9382352516632997,0.09407840194673546,11.355006220913742
EURUSD,forex,61,0.0499192894288174,3.045076655157861,1.090049889402736,48,0.13216359167305916,6.34385240030684,1.2284871666044062,0.34514446453027997,0.09104144055093828,9.3889290554647
GER30,index,60,0.10263624085041394,6.158174451024836,1.1913970722026153,49,0.07592517834784006,3.720333739044163,1.1371343958929552,1.1016146690112714,0.089280709599127,9.878508190068999
UKOUSD,energy,66,-0.1110930744018896,-7.332142910524714,0.8385035061284674,49,0.2862204061587765,14.024799901780046,1.5232967386380898,7.220737959419041,0.08756366587844344,6.692656991255332
XAGUSD,metal,64,0.3041001818412055,19.462411637837153,1.5216403267561216,33,-0.21863883239959778,-7.215081469186726,0.6605370107874994,6.836827711941918,0.04273067472080387,12.247330168650427
ETHUSD,crypto,72,0.2067848101438349,14.888506330356114,1.3171144116509652,63,-0.21986016921392804,-13.851190660477465,0.6967395872011728,19.758940920766648,-0.006537679535046567,1.037315669878648
EURAUD,forex,62,-0.08846596197746455,-5.484889642602802,0.8682754088659338,42,0.06294280003624102,2.6435976015221225,1.1310926781705215,1.383879533286731,-0.012761580970611766,-2.8412920410806795
EURJPY,forex,56,0.04016154781562464,2.24904667767498,1.0680618803520783,45,-0.08361254611388406,-3.762564575124783,0.8664271197923484,0.5674644270732117,-0.02172549914912971,-1.5135178974498031
USDCHF,forex,66,-0.05943806250979955,-3.9229121256467705,0.9031433577674763,53,-0.025582590387965454,-1.355877290562169,0.957205999085055,1.1212787561285298,-0.0425103264488825,-5.278789416208939
NDX100,index,53,0.4042451773231552,21.424994398127225,1.8540312060307458,59,-0.49252092912503787,-29.058734818377236,0.3264751448736907,0.5059481396607945,-0.04413787590094134,-7.63374042025001
GBPUSD,forex,66,0.06313013910764946,4.1665891811048645,1.107022124209806,49,-0.23804758196432033,-11.664331516251696,0.6251636916731407,0.5974563296753419,-0.08745872142833544,-7.497742335146832
USDJPY,forex,70,-0.2803229739809838,-19.62260817866887,0.5624710956744873,43,0.07749208241539984,3.3321595438621934,1.1292178647638036,0.32451622743365777,-0.10141544578279199,-16.290448634806676
US30,index,53,0.1278955941777928,6.7784664914230195,1.2175483221674528,51,-0.3316841733183508,-16.91589283923589,0.5046535471343544,0.4689056862762636,-0.101894289570279,-10.137426347812871
UK100,index,57,-0.0996561923052186,-5.68040296139746,0.8402802356416476,41,-0.11137721746062035,-4.566465915885434,0.8031067159331641,2.0358075219438234,-0.10551670488291948,-10.246868877282894
USOUSD,energy,69,-0.22654042780293548,-15.631289518402548,0.6708151967456556,51,0.00960989075216651,0.49010442836049206,1.0172197632896096,7.560293339381138,-0.10846526852538449,-15.141185090042056
GBPJPY,forex,57,-0.1904294065850048,-10.854476175345273,0.7198486583139909,42,-0.050168421127430154,-2.1070736873520666,0.9115160940155164,0.8908730060530209,-0.12029891385621747,-12.961549862697339
NZDUSD,forex,66,-0.23643652784096866,-15.604810837503932,0.670157084063698,50,-0.009542882325813982,-0.4771441162906991,0.9849460412292741,1.7141338909999402,-0.12298970508339133,-16.081954953794632
FRA40,index,44,-0.04109557152959117,-1.8082051473020113,0.9402356157605509,37,-0.2559893999189115,-9.471607796999725,0.6386013609983503,1.4817366302247172,-0.14854248572425133,-11.279812944301737
BTCUSD,crypto,72,-0.03788662512358207,-2.727837008897909,0.9346631114046898,61,-0.3408993793872221,-20.79486214262055,0.5119434127289479,5.493768967237359,-0.18939300225540207,-23.52269915151846
SPX500,index,66,-0.1527866628209531,-10.083919746182904,0.7362922070803475,55,-0.279265441214764,-15.359599266812019,0.5981289328608141,0.7821811006964469,-0.21602605201785854,-25.443519012994923
AUDJPY,forex,60,-0.2530933402213903,-15.185600413283417,0.6415786799819403,52,-0.1948456955722591,-10.131976169757472,0.6859639982060797,0.8073875965076012,-0.22396951789682468,-25.31757658304089
AUDUSD,forex,57,-0.11408341078964818,-6.502754415009946,0.81581438558725,59,-0.3558680097518,-20.9962125753562,0.5239533525458582,1.5244715800384012,-0.2349757102707241,-27.498966990366146
HK50,index,58,-0.03381211700396402,-1.9611027862299133,0.9433220348832007,43,-0.5016456868524102,-21.570764534653637,0.3166258904171461,4.37052648057296,-0.2677289019281871,-23.53186732088355
US2000,index,67,-0.4530816647586586,-30.356471538830125,0.4092057452808475,49,-0.13851605810467715,-6.787286847129181,0.7955976770972414,1.4775589089653078,-0.2957988614316679,-37.1437583859593
EUSTX50,index,45,-0.16157493419826363,-7.270872038921863,0.7554349323956213,43,-0.46379502177712645,-19.943185936416437,0.3553297575832084,4.275380937431514,-0.312684977987695,-27.2140579753383
AUS200,index,57,-0.41982505415049937,-23.930028086578464,0.4409066414877058,46,-0.345064963336924,-15.872988313498503,0.5023108609131146,7.2755565161010285,-0.3824450087437117,-39.80301640007697
EURGBP,forex,61,-0.6337667986470997,-38.659774717473084,0.20937464463315208,48,-0.22830359754669713,-10.958572682241462,0.6382059575395181,0.9252833680311009,-0.43103519809689844,-49.618347399714544
