instrument,class,window,runs,p1_pass,funded,alive,breach,dd_med,dd_p90,worstday_med,worstday_max,trades,payout,spread_bp
EURUSD,forex,DEV,19,5.263157894736842,0.0,0.0,0.0,7.941820234773317,8.64777783481578,1.6620542623824424,1.7065558201313853,39.0,0.0,0.34514446453027997
EURUSD,forex,TEST,17,64.70588235294117,5.88235294117647,5.88235294117647,0.0,7.409111052974983,7.561118810443666,1.5913519986092912,1.6298844339410243,33.0,0.0,0.34514446453027997
GBPUSD,forex,DEV,19,68.42105263157895,15.789473684210526,15.789473684210526,0.0,6.538090905034595,7.692986217773106,1.3737636956925408,1.8656926988364293,45.0,0.0,0.5974563296753419
GBPUSD,forex,TEST,17,0.0,0.0,0.0,0.0,8.840789714287043,10.434644604966897,1.5026521555371621,1.7365593850949947,33.0,0.0,0.5974563296753419
AUDUSD,forex,DEV,19,0.0,0.0,0.0,0.0,10.46024574452183,11.71231611526959,1.14234006800729,1.5231972039545671,39.0,0.0,1.5244715800384012
AUDUSD,forex,TEST,17,47.05882352941176,0.0,0.0,0.0,12.045059743249753,13.955239477478756,1.4824635028528763,1.7984850544219217,39.0,0.0,1.5244715800384012
NZDUSD,forex,DEV,19,31.57894736842105,0.0,0.0,0.0,13.381906815520605,15.24215284388316,1.069908362591754,1.4200554602916586,45.0,0.0,1.7141338909999402
NZDUSD,forex,TEST,17,0.0,0.0,0.0,0.0,9.288411684681822,10.427641130726471,1.502224445088899,1.5313944741440302,33.0,0.0,1.7141338909999402
USDJPY,forex,DEV,19,0.0,0.0,0.0,0.0,10.54956344353699,11.242759440232557,1.620711595966046,1.6685874983072284,49.0,0.0,0.32451622743365777
USDJPY,forex,TEST,17,76.47058823529412,0.0,0.0,0.0,9.468353459925465,11.293410533006995,1.3205664657534895,1.3756925498199786,32.0,0.0,0.32451622743365777
USDCAD,forex,DEV,19,57.89473684210527,5.263157894736842,5.263157894736842,0.0,9.798180483671615,10.785513539190289,1.0698136377763068,1.5510189904978433,46.0,0.0,0.9382352516632997
USDCAD,forex,TEST,17,47.05882352941176,0.0,0.0,0.0,6.609454881093388,7.119251984066947,1.0795455214156984,1.5501947592724614,42.0,0.0,0.9382352516632997
USDCHF,forex,DEV,19,42.10526315789473,0.0,0.0,0.0,8.319398732740646,12.632076713759924,1.4739585190258917,1.505553167985644,40.0,0.0,1.1212787561285298
USDCHF,forex,TEST,17,64.70588235294117,0.0,0.0,0.0,9.576971334687025,12.656397501536409,1.5834363220178762,1.596765131122247,39.0,0.0,1.1212787561285298
EURJPY,forex,DEV,19,0.0,0.0,0.0,0.0,8.256106463850179,9.331281355419701,1.1569123224619786,1.2152757751497218,36.0,0.0,0.5674644270732117
