concept,instrument,class,year,trades,expR,totR,pf
TSMomentum,XAUUSD,metal,2015,35,-0.022899822917759105,-0.8014938021215687,0.9472038566278018
TSMomentum,XAUUSD,metal,2016,44,0.3657352623177989,16.092351541983152,1.7966825162052402
TSMomentum,XAUUSD,metal,2017,52,-0.13668307065826835,-7.107519674229954,0.7937706061215567
TSMomentum,XAUUSD,metal,2018,52,-0.05442694725202583,-2.830201257105343,0.9097279000427507
TSMomentum,XAUUSD,metal,2019,49,0.19466347044309526,9.538510051711668,1.3926428696072337
TSMomentum,XAUUSD,metal,2020,39,0.4064306449800356,15.85079515422139,1.786912062582766
TurnOfMonth,XAUUSD,metal,2015,12,-0.19566583619177605,-2.3479900343013127,0.5112335986592677
TurnOfMonth,XAUUSD,metal,2016,12,0.4056911714752851,4.868294057703421,4.328277023347423
TurnOfMonth,XAUUSD,metal,2017,12,-0.10468902785322504,-1.2562683342387004,0.758595345202028
TurnOfMonth,XAUUSD,metal,2018,12,0.08222901684330498,0.9867482021196597,2.204280391046418
TurnOfMonth,XAUUSD,metal,2019,12,0.4644705928842052,5.573647114610463,4.725636159123795
TurnOfMonth,XAUUSD,metal,2020,9,0.17427822760186434,1.5685040484167792,1.5211954782183452
ShortTermReversal,XAUUSD,metal,2015,30,-0.0031102261241368833,-0.0933067837241065,0.9945730076481626
ShortTermReversal,XAUUSD,metal,2016,50,0.03165771003989923,1.5828855019949613,1.054044189939509
ShortTermReversal,XAUUSD,metal,2017,56,-0.30403613437743066,-17.026023525136118,0.5188901470617585
ShortTermReversal,XAUUSD,metal,2018,52,0.07872860893719368,4.093887664734071,1.1557246764155824
ShortTermReversal,XAUUSD,metal,2019,40,0.14953263007667464,5.981305203066985,1.3115631325535775
ShortTermReversal,XAUUSD,metal,2020,40,0.22365302452287522,8.946120980915008,1.4442442218146156
VolContraction,XAUUSD,metal,2015,23,0.4021875652761307,9.250314001351006,2.1391164088129866
VolContraction,XAUUSD,metal,2016,31,0.3405068388919546,10.555712005650593,1.6486762178625525
VolContraction,XAUUSD,metal,2017,33,-0.20230709636688735,-6.676134180107282,0.7025922118492834
VolContraction,XAUUSD,metal,2018,30,-0.15931172092496662,-4.779351627748999,0.7766951367939299
VolContraction,XAUUSD,metal,2019,29,-0.030308949151207746,-0.8789595253850246,0.9519702678287354
VolContraction,XAUUSD,metal,2020,27,0.40708052426341,10.99117415511207,1.9050313686154954
A3 Donchian H4 Swing,XAUUSD,metal,2015,71,-0.2684159126188042,-19.0575297959351,0.6351345560244098
A3 Donchian H4 Swing,XAUUSD,metal,2016,80,0.14675353950936393,11.740283160749115,1.2615051650838511
A3 Donchian H4 Swing,XAUUSD,metal,2017,87,0.012488171239192129,1.0864708978097153,1.0220807142767296
A3 Donchian H4 Swing,XAUUSD,metal,2018,83,-0.3266522184253985,-27.112134129308075,0.5100440516691885
A3 Donchian H4 Swing,XAUUSD,metal,2019,81,-0.10308810134524887,-8.350136208965159,0.8544314813471701
A3 Donchian H4 Swing,XAUUSD,metal,2020,76,0.1244972689601807,9.461792440973733,1.1982211799539502
TSMomentum,XAGUSD,metal,2015,29,-0.08882113110260302,-2.575812801975488,0.8620738322988217
TSMomentum,XAGUSD,metal,2016,45,0.13007807726161816,5.853513476772817,1.206453347493448
TSMomentum,XAGUSD,metal,2017,46,-0.18591219022181063,-8.551960750203289,0.7356723787714962
TSMomentum,XAGUSD,metal,2018,48,-0.14897464547016503,-7.150782982567922,0.7716359322221383
TSMomentum,XAGUSD,metal,2019,50,-0.13909223741464136,-6.954611870732068,0.7766673165665833
TSMomentum,XAGUSD,metal,2020,43,0.265397793320227,11.412105112769762,1.5337397119693046
TurnOfMonth,XAGUSD,metal,2015,12,-0.07906399998809348,-0.9487679998571217,0.7544204662562742
TurnOfMonth,XAGUSD,metal,2016,12,0.5149542184798491,6.17945062175819,4.7232508192520015
TurnOfMonth,XAGUSD,metal,2017,12,-0.2958012503106044,-3.549615003727253,0.3506868687466378
TurnOfMonth,XAGUSD,metal,2018,12,-0.10486020895284674,-1.2583225074341609,0.5235138370825367
TurnOfMonth,XAGUSD,metal,2019,12,-0.13587878605151812,-1.6305454326182176,0.6395303800848512
TurnOfMonth,XAGUSD,metal,2020,8,-0.021521772666239558,-0.17217418132991646,0.9182917992524603
ShortTermReversal,XAGUSD,metal,2015,27,-0.03296269546640572,-0.8899927775929545,0.9340088622510597
ShortTermReversal,XAGUSD,metal,2016,44,-0.29939326456052656,-13.17330364066317,0.5507637658421772
ShortTermReversal,XAGUSD,metal,2017,47,-0.4356464812432424,-20.475384618432393,0.46771214447522413
ShortTermReversal,XAGUSD,metal,2018,55,-0.20015661544769844,-11.008613849623414,0.6793959397600473
